file, totalLetter, totalWord, totalSentence, vietnamese formula result
data/ppVietnamese_by_catalog/Difficult/lv/lv (96).txt,15465,2258,105,11.998915179889494
data/ppVietnamese_by_catalog/Difficult/lv/lv (97).txt,31594,4094,173,14.167242065789214
data/ppVietnamese_by_catalog/Difficult/lv/lv (98).txt,48605,6661,335,12.57062123700668
data/ppVietnamese_by_catalog/Difficult/lv/lv (99).txt,50212,7173,300,12.782278823365399
data/ppVietnamese_by_catalog/Difficult/ml/ml (10).txt,21993,3347,148,11.664891108616835
data/ppVietnamese_by_catalog/Difficult/ml/ml (11).txt,21993,3347,148,11.664891108616835
data/ppVietnamese_by_catalog/Difficult/ml/ml (12).txt,32444,5062,270,10.568278385062264
data/ppVietnamese_by_catalog/Difficult/ml/ml (13).txt,19682,2681,109,13.60184718149123
data/ppVietnamese_by_catalog/Difficult/ml/ml (14).txt,11278,1462,69,13.665861733975692
data/ppVietnamese_by_catalog/Difficult/ml/ml (15).txt,6281,851,38,13.24040447770425
data/ppVietnamese_by_catalog/Difficult/ml/ml (16).txt,1852,220,8,16.336363636363636
data/ppVietnamese_by_catalog/Difficult/ml/ml (17).txt,14798,1994,91,13.224945165165828
data/ppVietnamese_by_catalog/Difficult/ml/ml (18).txt,13608,1759,78,13.982683925890292
data/ppVietnamese_by_catalog/Difficult/ml/ml (19).txt,21160,2719,98,15.113525380729712
data/ppVietnamese_by_catalog/Difficult/ml/ml (2).txt,9308,1185,59,13.726653793892584
data/ppVietnamese_by_catalog/Difficult/ml/ml (20).txt,22206,2912,108,14.64396621896622
data/ppVietnamese_by_catalog/Difficult/ml/ml (21).txt,12946,1656,70,14.366694271911665
data/ppVietnamese_by_catalog/Difficult/ml/ml (22).txt,10018,1289,68,13.33500889882718
data/ppVietnamese_by_catalog/Difficult/ml/ml (23).txt,17287,2284,114,13.144495652441087
data/ppVietnamese_by_catalog/Difficult/ml/ml (24).txt,23066,3022,130,13.914617930051417
data/ppVietnamese_by_catalog/Difficult/ml/ml (25).txt,23066,3022,130,13.914617930051417
data/ppVietnamese_by_catalog/Difficult/ml/ml (26).txt,7373,959,57,12.741346065894664
data/ppVietnamese_by_catalog/Difficult/ml/ml (27).txt,9498,1313,70,12.219059949951038
data/ppVietnamese_by_catalog/Difficult/ml/ml (28).txt,14588,2055,156,10.832182294591053
data/ppVietnamese_by_catalog/Difficult/ml/ml (29).txt,17345,2411,134,11.986728118016309
data/ppVietnamese_by_catalog/Difficult/ml/ml (3).txt,6410,829,31,14.812802054554652
data/ppVietnamese_by_catalog/Difficult/ml/ml (30).txt,21267,2810,137,13.238844585292359
data/ppVietnamese_by_catalog/Difficult/ml/ml (31).txt,13080,1621,86,13.90795374661062
data/ppVietnamese_by_catalog/Difficult/ml/ml (4).txt,11559,1540,71,13.349716480702398
data/ppVietnamese_by_catalog/Difficult/ml/ml (5).txt,12344,1683,83,12.724465061672717
data/ppVietnamese_by_catalog/Difficult/ml/ml (6).txt,12102,1743,83,12.086402753872633
data/ppVietnamese_by_catalog/Difficult/ml/ml (7).txt,17105,2599,143,10.797719940698009
data/ppVietnamese_by_catalog/Difficult/ml/ml (8).txt,20421,2967,172,11.21541961577351
data/ppVietnamese_by_catalog/Difficult/ml/ml (9).txt,12102,1743,83,12.086402753872633
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (1).txt,12336,1685,73,13.258574854680703
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (10).txt,12818,2018,75,12.085000330360096
