file, flesch_kincaid_grade, dale_chall_readability_score
data/English Textbook 4 Readability Level/medium/7-agri-15.tei,6.8,7.78
data/English Textbook 4 Readability Level/medium/7-agri-16.tei,4.4,6.82
data/English Textbook 4 Readability Level/medium/7-agri-17.tei,7.2,7.27
data/English Textbook 4 Readability Level/medium/7-agri-18.tei,3.7,6.22
data/English Textbook 4 Readability Level/medium/7-agri-2.tei,4.4,6.18
data/English Textbook 4 Readability Level/medium/7-agri-3.tei,4.4,6.22
data/English Textbook 4 Readability Level/medium/7-agri-4.tei,5.2,6.44
data/English Textbook 4 Readability Level/medium/7-agri-5.tei,6.0,7.26
data/English Textbook 4 Readability Level/medium/7-agri-6.tei,5.6,7.09
data/English Textbook 4 Readability Level/medium/7-agri-7.tei,4.0,6.33
data/English Textbook 4 Readability Level/medium/7-agri-8.tei,3.7,6.59
data/English Textbook 4 Readability Level/medium/7-agri-9.tei,6.4,6.88
data/English Textbook 4 Readability Level/medium/7-artCraft-2.tei,4.4,5.65
data/English Textbook 4 Readability Level/medium/7-artCraft-3.tei,4.4,6.03
data/English Textbook 4 Readability Level/medium/7-artCraft-4.tei,3.7,6.18
data/English Textbook 4 Readability Level/medium/7-bdGlobal-1.tei,8.4,8.11
data/English Textbook 4 Readability Level/medium/7-bdGlobal-10.tei,8.4,7.19
data/English Textbook 4 Readability Level/medium/7-bdGlobal-11.tei,11.1,9.18
data/English Textbook 4 Readability Level/medium/7-bdGlobal-2.tei,9.1,7.56
data/English Textbook 4 Readability Level/medium/7-bdGlobal-3.tei,8.8,8.59
data/English Textbook 4 Readability Level/medium/7-bdGlobal-4.tei,9.9,7.79
data/English Textbook 4 Readability Level/medium/7-bdGlobal-5.tei,9.5,7.33
data/English Textbook 4 Readability Level/medium/7-bdGlobal-6.tei,8.0,7.54
data/English Textbook 4 Readability Level/medium/7-bdGlobal-7.tei,8.0,7.17
data/English Textbook 4 Readability Level/medium/7-bdGlobal-8.tei,8.4,8.16
data/English Textbook 4 Readability Level/medium/7-bdGlobal-9.tei,8.4,7.51
data/English Textbook 4 Readability Level/medium/7-budh-1.tei,7.2,7.35
data/English Textbook 4 Readability Level/medium/7-budh-10.tei,6.4,7.17
data/English Textbook 4 Readability Level/medium/7-budh-11.tei,6.4,7.04
data/English Textbook 4 Readability Level/medium/7-budh-3.tei,6.4,6.83
data/English Textbook 4 Readability Level/medium/7-budh-4.tei,6.8,7.81
data/English Textbook 4 Readability Level/medium/7-budh-5.tei,6.4,7.03
data/English Textbook 4 Readability Level/medium/7-budh-6.tei,8.4,7.36
data/English Textbook 4 Readability Level/medium/7-budh-7.tei,8.4,7.41
data/English Textbook 4 Readability Level/medium/7-budh-8.tei,6.4,6.56
data/English Textbook 4 Readability Level/medium/7-budh-9.tei,5.2,6.04
data/English Textbook 4 Readability Level/medium/7-christ-1.tei,4.4,6.02
data/English Textbook 4 Readability Level/medium/7-christ-2.tei,4.4,6.36
data/English Textbook 4 Readability Level/medium/7-christ-3.tei,4.0,6.13
data/English Textbook 4 Readability Level/medium/7-christ-4.tei,5.2,6.23
data/English Textbook 4 Readability Level/medium/7-christ-5.tei,4.0,6.26
data/English Textbook 4 Readability Level/medium/7-christ-6.tei,5.2,6.18
data/English Textbook 4 Readability Level/medium/7-christ-7.tei,4.0,5.87
data/English Textbook 4 Readability Level/medium/7-christ-8.tei,4.0,5.83
data/English Textbook 4 Readability Level/medium/7-sci-1.tei,5.6,6.31
data/English Textbook 4 Readability Level/medium/7-sci-10.tei,8.0,6.41
data/English Textbook 4 Readability Level/medium/7-sci-11.tei,6.8,7.66
data/English Textbook 4 Readability Level/medium/7-sci-13.tei,6.0,6.11
data/English Textbook 4 Readability Level/medium/7-sci-14.tei,7.2,6.73
data/English Textbook 4 Readability Level/medium/7-sci-15.tei,6.8,7.43
data/English Textbook 4 Readability Level/medium/7-sci-16.tei,6.4,6.81
data/English Textbook 4 Readability Level/medium/7-sci-17.tei,8.0,6.88
data/English Textbook 4 Readability Level/medium/7-sci-18.tei,8.0,6.68
data/English Textbook 4 Readability Level/medium/7-sci-19.tei,6.4,7.17
data/English Textbook 4 Readability Level/medium/7-sci-2.tei,6.4,6.04
data/English Textbook 4 Readability Level/medium/7-sci-20.tei,7.6,7.97
data/English Textbook 4 Readability Level/medium/7-sci-21.tei,8.0,7.49
data/English Textbook 4 Readability Level/medium/7-sci-22.tei,8.8,7.1
data/English Textbook 4 Readability Level/medium/7-sci-23.tei,7.2,7.67
data/English Textbook 4 Readability Level/medium/7-sci-24.tei,7.6,8.22
data/English Textbook 4 Readability Level/medium/7-sci-3.tei,6.8,6.39
data/English Textbook 4 Readability Level/medium/7-sci-4.tei,6.4,6.33
data/English Textbook 4 Readability Level/medium/7-sci-5.tei,6.4,7.16
data/English Textbook 4 Readability Level/medium/7-sci-6.tei,6.8,6.06
data/English Textbook 4 Readability Level/medium/7-sci-7.tei,8.0,7.28
data/English Textbook 4 Readability Level/medium/7-sci-8.tei,8.4,7.89
data/English Textbook 4 Readability Level/medium/7-sci-9.tei,8.0,7.47
data/English Textbook 4 Readability Level/medium/8-agri-1.tei,7.2,7.39
data/English Textbook 4 Readability Level/medium/8-agri-10.tei,6.4,6.86
data/English Textbook 4 Readability Level/medium/8-agri-2.tei,6.0,5.9
data/English Textbook 4 Readability Level/medium/8-agri-3.tei,5.6,6.53
data/English Textbook 4 Readability Level/medium/8-agri-4.tei,7.2,6.49
data/English Textbook 4 Readability Level/medium/8-agri-5.tei,7.6,6.12
data/English Textbook 4 Readability Level/medium/8-agri-6.tei,7.2,6.6
data/English Textbook 4 Readability Level/medium/8-agri-7.tei,6.8,6.83
data/English Textbook 4 Readability Level/medium/8-agri-8.tei,4.4,5.62
data/English Textbook 4 Readability Level/medium/8-agri-9.tei,4.4,6.17
data/English Textbook 4 Readability Level/medium/8-bdGlobal-1.tei,8.8,7.92
data/English Textbook 4 Readability Level/medium/8-bdGlobal-10.tei,8.4,7.66
data/English Textbook 4 Readability Level/medium/8-bdGlobal-11.tei,8.0,7.65
data/English Textbook 4 Readability Level/medium/8-bdGlobal-12.tei,9.5,7.53
data/English Textbook 4 Readability Level/medium/8-bdGlobal-13.tei,9.5,7.6
data/English Textbook 4 Readability Level/medium/7-artCraft-1.tei,5.6,6.55
data/English Textbook 4 Readability Level/medium/7-budh-2.tei,6.4,7.3
data/English Textbook 4 Readability Level/medium/7-sci-12.tei,4.8,5.8
data/English Textbook 4 Readability Level/medium/8-bdGlobal-2.tei,9.5,7.56
data/English Textbook 4 Readability Level/medium/8-budh-9.tei,7.2,7.4
data/English Textbook 4 Readability Level/medium/8-genSci-14.tei,8.4,7.39
data/English Textbook 4 Readability Level/medium/8-genSci-8.tei,6.0,6.51
data/English Textbook 4 Readability Level/medium/8-christ-1.tei,4.8,6.34
data/English Textbook 4 Readability Level/medium/8-christ-10.tei,4.8,6.26
data/English Textbook 4 Readability Level/medium/8-christ-2.tei,4.0,6.28
data/English Textbook 4 Readability Level/medium/8-christ-3.tei,4.0,6.82
data/English Textbook 4 Readability Level/medium/8-christ-4.tei,4.4,6.59
data/English Textbook 4 Readability Level/medium/8-christ-5.tei,6.0,6.25
data/English Textbook 4 Readability Level/medium/8-christ-6.tei,4.8,6.37
data/English Textbook 4 Readability Level/medium/8-christ-7.tei,4.8,6.41
data/English Textbook 4 Readability Level/medium/8-christ-8.tei,4.4,6.46
data/English Textbook 4 Readability Level/medium/8-christ-9.tei,4.8,6.37
data/English Textbook 4 Readability Level/medium/8-eng-1.tei,2.9,5.95
data/English Textbook 4 Readability Level/medium/8-eng-2.tei,2.9,5.66
data/English Textbook 4 Readability Level/medium/8-eng-3.tei,2.9,5.61
data/English Textbook 4 Readability Level/medium/8-genSci-1.tei,8.0,6.81
data/English Textbook 4 Readability Level/medium/8-genSci-10.tei,6.0,6.19
data/English Textbook 4 Readability Level/medium/8-genSci-11.tei,4.4,6.35
data/English Textbook 4 Readability Level/medium/8-genSci-12.tei,4.4,6.05
