file, flesch_kincaid_grade, dale_chall_readability_score
data/Vietnamese_by_catalog/Difficult/lv/lv (73).txt,-1.2,1.83
data/Vietnamese_by_catalog/Difficult/lv/lv (74).txt,-3.2,1.57
data/Vietnamese_by_catalog/Difficult/lv/lv (75).txt,-2.8,1.63
data/Vietnamese_by_catalog/Difficult/lv/lv (76).txt,-1.7,1.77
data/Vietnamese_by_catalog/Difficult/lv/lv (77).txt,-0.5,1.91
data/Vietnamese_by_catalog/Difficult/lv/lv (78).txt,-1.2,1.84
data/Vietnamese_by_catalog/Difficult/lv/lv (79).txt,-0.3,1.94
data/Vietnamese_by_catalog/Difficult/lv/lv (8).txt,-3.7,1.52
data/Vietnamese_by_catalog/Difficult/lv/lv (80).txt,-2.4,1.68
data/Vietnamese_by_catalog/Difficult/lv/lv (82).txt,-2.5,1.66
data/Vietnamese_by_catalog/Difficult/lv/lv (83).txt,-1.9,1.74
data/Vietnamese_by_catalog/Difficult/lv/lv (84).txt,-1.9,1.75
data/Vietnamese_by_catalog/Difficult/lv/lv (85).txt,-1.5,1.79
data/Vietnamese_by_catalog/Difficult/lv/lv (86).txt,-2.4,1.67
data/Vietnamese_by_catalog/Difficult/lv/lv (87).txt,-2.8,1.63
data/Vietnamese_by_catalog/Difficult/lv/lv (88).txt,0.2,2.01
data/Vietnamese_by_catalog/Difficult/lv/lv (89).txt,0.7,2.07
data/Vietnamese_by_catalog/Difficult/lv/lv (9).txt,-3.8,1.5
data/Vietnamese_by_catalog/Difficult/lv/lv (90).txt,-1.1,1.85
data/Vietnamese_by_catalog/Difficult/lv/lv (91).txt,-2.7,1.64
data/Vietnamese_by_catalog/Difficult/lv/lv (92).txt,-1.4,1.8
data/Vietnamese_by_catalog/Difficult/lv/lv (93).txt,-1.6,1.78
data/Vietnamese_by_catalog/Difficult/lv/lv (94).txt,-0.9,1.87
data/Vietnamese_by_catalog/Difficult/lv/lv (95).txt,-0.7,1.9
data/Vietnamese_by_catalog/Difficult/lv/lv (96).txt,-2.0,1.73
data/Vietnamese_by_catalog/Difficult/lv/lv (97).txt,1.7,2.2
data/Vietnamese_by_catalog/Difficult/lv/lv (98).txt,-2.7,1.64
data/Vietnamese_by_catalog/Difficult/lv/lv (99).txt,-1.8,1.76
data/Vietnamese_by_catalog/Difficult/lv/lv (21).txt,-2.2,1.7
data/Vietnamese_by_catalog/Difficult/lv/lv (41).txt,-3.9,1.48
data/Vietnamese_by_catalog/Difficult/lv/lv (61).txt,-2.2,1.71
data/Vietnamese_by_catalog/Difficult/lv/lv (81).txt,-0.5,1.91
data/Vietnamese_by_catalog/Difficult/ml/ml (10).txt,-3.6,1.53
data/Vietnamese_by_catalog/Difficult/ml/ml (11).txt,-3.6,1.53
data/Vietnamese_by_catalog/Difficult/ml/ml (12).txt,-3.6,1.53
data/Vietnamese_by_catalog/Difficult/ml/ml (13).txt,-1.9,1.74
data/Vietnamese_by_catalog/Difficult/ml/ml (14).txt,-0.2,1.96
data/Vietnamese_by_catalog/Difficult/ml/ml (15).txt,-1.6,1.78
data/Vietnamese_by_catalog/Difficult/ml/ml (16).txt,0.8,2.09
data/Vietnamese_by_catalog/Difficult/ml/ml (17).txt,-2.0,1.73
data/Vietnamese_by_catalog/Difficult/ml/ml (18).txt,-1.4,1.81
data/Vietnamese_by_catalog/Difficult/ml/ml (19).txt,0.0,1.98
data/Vietnamese_by_catalog/Difficult/ml/ml (2).txt,-1.4,1.81
data/Vietnamese_by_catalog/Difficult/ml/ml (20).txt,-0.3,1.95
data/Vietnamese_by_catalog/Difficult/ml/ml (21).txt,-0.6,1.9
data/Vietnamese_by_catalog/Difficult/ml/ml (22).txt,-1.5,1.8
data/Vietnamese_by_catalog/Difficult/ml/ml (23).txt,-2.0,1.73
data/Vietnamese_by_catalog/Difficult/ml/ml (24).txt,-3.5,1.54
data/Vietnamese_by_catalog/Difficult/ml/ml (25).txt,-3.5,1.54
data/Vietnamese_by_catalog/Difficult/ml/ml (26).txt,-4.9,1.35
data/Vietnamese_by_catalog/Difficult/ml/ml (27).txt,0.5,2.04
data/Vietnamese_by_catalog/Difficult/ml/ml (28).txt,-5.7,1.26
data/Vietnamese_by_catalog/Difficult/ml/ml (29).txt,-2.6,1.66
data/Vietnamese_by_catalog/Difficult/ml/ml (3).txt,3.6,2.45
data/Vietnamese_by_catalog/Difficult/ml/ml (30).txt,-1.4,1.81
data/Vietnamese_by_catalog/Difficult/ml/ml (31).txt,-1.9,1.75
data/Vietnamese_by_catalog/Difficult/ml/ml (4).txt,1.8,2.22
data/Vietnamese_by_catalog/Difficult/ml/ml (5).txt,-0.7,1.89
data/Vietnamese_by_catalog/Difficult/ml/ml (6).txt,-3.8,1.5
data/Vietnamese_by_catalog/Difficult/ml/ml (7).txt,-3.1,1.59
data/Vietnamese_by_catalog/Difficult/ml/ml (8).txt,-1.2,1.83
data/Vietnamese_by_catalog/Difficult/ml/ml (9).txt,-3.8,1.5
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (311).txt,-3.9,1.48
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (581).txt,1.5,2.18
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1).txt,-3.3,1.56
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (10).txt,-2.8,1.63
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (100).txt,15.1,3.9
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1000).txt,2.2,2.26
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1001).txt,1.3,2.15
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1002).txt,-1.7,1.77
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1003).txt,-2.5,1.66
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1004).txt,5.4,2.67
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1005).txt,2.9,2.35
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1006).txt,0.7,2.07
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1007).txt,0.3,2.02
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1008).txt,-2.8,1.62
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1009).txt,-2.3,1.69
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (101).txt,4.2,2.51
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1010).txt,-3.7,1.52
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1011).txt,0.2,2.01
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1012).txt,-2.6,1.66
