12,A,6.0,1,A ,20.0,1, B
12,A,4.0,1,A ,20.0,2, B
12,A,12.0,1,A ,19.75,8,A B
12,A,8.0,1,A ,29.0,1, B
12,A,8.0,1,A ,23.0,1, B
12,A,4.0,1,A ,21.0,1, B
12,A,6.0,1,A ,20.5,2, B
12,A,5.0,1,A ,15.5,2,A 
12,A,5.0,1,A ,21.0,2, B
12,A,21.0,1, B,21.25,4, B
12,A,4.0,1,A ,18.5,2, B
12,A,12.0,1,A ,16.5,2, B
12,A,8.0,1,A ,18.0,2, B
12,A,11.0,1,A ,8.0,1,A 
12,A,13.0,1, B,16.0,2,A 
12,A,7.0,1,A ,22.0,1, B
12,A,5.0,1,A ,16.0,2,A 
12,A,8.0,1,A ,14.0,2,A B
12,A,12.0,1,A ,16.0,3,A B
12,A,4.0,1,A ,21.0,1, B
12,A,17.0,1, B,28.0,1, B
12,A,8.0,1,A ,22.0,1, B
12,A,10.0,1,A ,18.0,1, B
12,A,12.0,1,A ,17.0,1, B
12,A,16.0,1, B,18.5,2, B
12,A,17.0,2, B,14.0,1, B
12,A,19.0,1, B,17.0,1,A 
12,A,11.0,1,A ,30.0,1, B
12,A,12.0,1,A ,19.0,1,A 
12,A,15.0,1, B,17.0,2,A B
12,A,15.0,1, B,18.0,1, B
11,A,17.0,1, B,16.833333333333332,6,A B
11,A,9.0,1,A ,18.75,4, B
11,A,11.0,1,A ,11.0,2, B
11,A,5.0,1,A ,14.0,1, B
11,A,17.0,1, B,15.5,2,A 
11,A,8.0,1,A ,13.625,8,A B
11,A,6.0,1,A ,14.0,2, B
11,A,14.0,1, B,16.5,2,A B
11,A,8.0,1,A ,18.545454545454547,11,A B
11,A,14.0,1, B,13.75,4,A B
11,A,4.0,1,A ,20.3,10,A B
11,A,7.0,1,A ,17.0,1, B
11,A,17.0,1, B,16.0,1, B
11,A,18.0,1, B,15.571428571428571,7,A B
11,A,8.0,1,A ,15.0,1,A 
11,A,9.0,1,A ,25.0,1, B
11,A,5.0,1,A ,15.5,2,A 
11,A,7.0,1,A ,20.0,1, B
11,A,15.0,2, B,14.666666666666666,3, B
11,A,5.0,1,A ,16.642857142857142,14,A B
11,A,5.0,1,A ,21.0,1, B
11,A,9.0,1,A ,26.0,1, B
11,A,21.0,1, B,22.0,1, B
11,A,9.0,1,A ,13.5,2,A 
11,A,8.0,1,A ,16.0,1,A 
11,A,8.0,1, B,24.5,2, B
11,A,8.0,1,A ,17.5,2, B
11,A,17.0,1, B,23.333333333333332,3, B
11,A,20.0,1, B,16.666666666666668,3,A B
11,A,8.0,1,A ,13.0,2, B
11,A,16.0,1, B,15.0,1, B
11,A,5.0,1,A ,22.0,1, B
11,A,10.0,1,A ,17.0,1, B
11,A,11.0,1,A ,16.0,1, B
11,A,8.0,1,A ,15.0,1, B
11,A,9.0,1,A ,17.714285714285715,7,A B
11,A,13.0,1,A ,16.5,2,A 
11,A,6.0,1,A ,20.0,3, B
11,A,5.0,1,A ,16.666666666666668,3, B
11,A,11.0,1,A ,15.0,1,A 
11,A,8.0,1, B,14.909090909090908,11,A B
11,A,11.0,1,A ,18.0,1,A 
11,A,22.0,1, B,12.5,2,A B
11,A,10.0,1, B,19.0,1, B
11,A,8.0,1, B,20.333333333333332,3, B
11,A,12.0,1,A ,21.0,1, B
11,A,16.0,1, B,22.0,2, B
11,A,8.0,1,A ,19.0,1, B
11,A,10.0,1,A ,16.0,1, B
11,A,11.0,1,A ,20.0,1, B
11,A,17.0,2, B,14.0,1, B
11,A,19.0,1, B,17.318181818181817,22,A B
11,A,7.0,1,A ,20.0,2, B
11,A,16.0,1, B,13.4,5,A B
11,A,9.0,1,A ,19.0,1, B
11,A,7.0,1,A ,10.0,1, B
10,A,14.0,1,A ,14.333333333333334,6,A B
10,A,8.0,1,A ,13.0,1,A 
10,A,7.0,1,A ,18.0,2, B
10,A,17.0,1, B,16.833333333333332,6,A B
10,A,9.0,1, B,22.0,1, B
10,A,7.0,1,A ,13.5,2,A B
10,A,4.0,1,A ,13.333333333333334,12,A B
10,A,7.0,1,A ,24.5,2, B
10,A,18.0,1, B,15.0,2,A B
10,A,11.0,1,A ,15.0,2, B
10,A,13.0,1, B,17.0,1, B
10,A,19.0,1,A ,18.0,2, B
10,A,12.0,1,A ,19.75,8,A B
10,A,16.0,1, B,15.0,1, B
10,A,5.0,1,A ,18.0,2, B
10,A,11.0,1,A ,14.666666666666666,3, B
10,A,8.0,1, B,16.5,4, B
10,A,10.0,1,A ,18.0,1, B
10,A,7.0,1,A ,12.666666666666666,3,A B
10,A,16.0,1, B,12.5,2,A B
10,A,9.0,1,A ,19.0,1, B
10,A,6.0,1,A ,15.666666666666666,3, B
10,A,11.0,1,A ,18.428571428571427,7,A B
10,A,8.0,1,A ,15.0,6,A B
10,A,9.0,1,A ,13.5,4,A 
10,A,6.0,1,A ,15.0,9,A B
10,A,8.0,1,A ,16.5,8,A B
10,A,15.0,1, B,17.0,1, B
10,A,7.0,1,A ,17.0,1, B
10,A,18.0,1, B,12.0,1,A 
10,A,6.0,1,A ,13.0,1,A 
10,A,8.0,1,A ,13.0,1,A 
10,A,18.0,1, B,15.75,4,A B
10,A,5.0,1,A ,17.0,1, B
10,A,7.0,1,A ,18.0,2, B
10,A,11.0,1,A ,19.5,2, B
10,A,10.0,1,A ,16.0,2, B
10,A,9.0,1,A ,14.0,1,A 
10,A,6.0,1,A ,12.4375,16,A B
10,A,19.0,1, B,13.5,2,A 
10,A,9.0,1,A ,14.666666666666666,3,A 
10,A,21.0,1, B,15.25,4,A B
10,A,7.0,1,A ,20.0,1, B
10,A,11.0,1,A ,13.0,1,A 
10,A,15.0,2, B,14.666666666666666,3, B
10,A,19.0,1, B,13.5,2,A 
10,A,9.0,1,A ,15.0,2,A B
10,A,8.0,1,A ,15.0,2,A 
10,A,13.0,1, B,10.0,2, B
10,A,9.0,1,A ,20.0,1, B
10,A,4.0,1,A ,15.0,1, B
10,A,9.0,1,A ,15.666666666666666,3,A 
10,A,4.0,1,A ,20.5,2, B
10,A,12.0,1, B,16.0,1, B
10,A,15.0,1, B,14.666666666666666,3,A B
10,A,9.0,1,A ,12.25,4, B
10,A,20.0,1, B,13.0,1,A 
10,A,27.0,1, B,14.666666666666666,3,A B
10,A,5.0,1,A ,15.0,1,A 
10,A,10.0,1,A ,16.0,2, B
10,A,21.0,1, B,11.454545454545455,11,A B
10,A,5.0,1,A ,14.0,2,A B
10,A,4.0,1,A ,18.0,4, B
10,A,5.0,1,A ,10.0,1, B
10,A,8.0,1,A ,19.333333333333332,3, B
10,A,4.0,1,A ,17.0,1, B
10,A,8.0,1,A ,15.0,1, B
10,A,14.0,1, B,17.0,2, B
10,A,17.0,1, B,18.25,4,A B
10,A,14.0,1, B,15.666666666666666,3,A 
10,A,7.0,1,A ,16.0,1, B
