file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Difficult/l/l (227).txt,3860,114,26778
data/ppVietnamese_by_catalog/Difficult/l/l (84).txt,3759,76,27103
data/ppVietnamese_by_catalog/Difficult/l/l (187).txt,4342,103,32113
data/ppVietnamese_by_catalog/Difficult/l/l (96).txt,9794,258,70411
data/ppVietnamese_by_catalog/Difficult/l/l (143).txt,7484,274,55578
data/ppVietnamese_by_catalog/Difficult/l/l (2).txt,5236,282,39628
data/ppVietnamese_by_catalog/Difficult/l/l (26).txt,6333,222,47855
data/ppVietnamese_by_catalog/Difficult/l/l (181).txt,5809,237,40711
data/ppVietnamese_by_catalog/Difficult/l/l (81).txt,735,27,4662
data/ppVietnamese_by_catalog/Difficult/l/l (138).txt,6833,291,52175
data/ppVietnamese_by_catalog/Difficult/l/l (15).txt,2056,57,17361
data/ppVietnamese_by_catalog/Difficult/l/l (161).txt,7203,241,56631
data/ppVietnamese_by_catalog/Difficult/l/l (59).txt,6911,259,53194
data/ppVietnamese_by_catalog/Difficult/l/l (117).txt,4292,105,26667
data/ppVietnamese_by_catalog/Difficult/l/l (30).txt,2439,170,16266
data/ppVietnamese_by_catalog/Difficult/l/l (23).txt,9559,231,62336
data/ppVietnamese_by_catalog/Difficult/l/l (218).txt,7110,285,47150
data/ppVietnamese_by_catalog/Difficult/l/l (216).txt,4597,198,34724
data/ppVietnamese_by_catalog/Difficult/l/l (93).txt,3086,144,21929
data/ppVietnamese_by_catalog/Difficult/l/l (129).txt,10889,429,77487
data/ppVietnamese_by_catalog/Difficult/l/l (11).txt,814,24,4692
data/ppVietnamese_by_catalog/Difficult/l/l (171).txt,3273,81,22461
data/ppVietnamese_by_catalog/Difficult/l/l (115).txt,5395,114,32564
data/ppVietnamese_by_catalog/Difficult/l/l (179).txt,2608,72,19223
data/ppVietnamese_by_catalog/Difficult/l/l (211).txt,6645,212,46593
data/ppVietnamese_by_catalog/Difficult/l/l (160).txt,10087,349,76582
data/ppVietnamese_by_catalog/Difficult/l/l (209).txt,8907,238,63019
data/ppVietnamese_by_catalog/Difficult/l/l (44).txt,5698,193,39475
data/ppVietnamese_by_catalog/Difficult/l/l (168).txt,5901,243,45984
data/ppVietnamese_by_catalog/Difficult/l/l (88).txt,4654,142,32404
data/ppVietnamese_by_catalog/Difficult/l/l (185).txt,6601,171,46380
data/ppVietnamese_by_catalog/Difficult/l/l (77).txt,4596,143,31484
data/ppVietnamese_by_catalog/Difficult/l/l (144).txt,5617,196,38555
data/ppVietnamese_by_catalog/Difficult/l/l (46).txt,2200,55,13594
data/ppVietnamese_by_catalog/Difficult/l/l (74).txt,2423,53,18540
data/ppVietnamese_by_catalog/Difficult/l/l (10).txt,739,31,4486
data/ppVietnamese_by_catalog/Difficult/l/l (146).txt,2598,73,18869
data/ppVietnamese_by_catalog/Difficult/l/l (110).txt,4516,163,31915
data/ppVietnamese_by_catalog/Difficult/l/l (158).txt,7733,280,52769
data/ppVietnamese_by_catalog/Difficult/l/l (112).txt,2297,77,15566
data/ppVietnamese_by_catalog/Difficult/l/l (32).txt,2603,128,17924
data/ppVietnamese_by_catalog/Difficult/l/l (16).txt,4965,208,36701
data/ppVietnamese_by_catalog/Difficult/l/l (186).txt,9025,305,69272
data/ppVietnamese_by_catalog/Difficult/l/l (62).txt,9692,330,63398
data/ppVietnamese_by_catalog/Difficult/l/l (188).txt,11116,308,77242
data/ppVietnamese_by_catalog/Difficult/l/l (51).txt,8609,341,64310
data/ppVietnamese_by_catalog/Difficult/l/l (12).txt,10509,341,72964
data/ppVietnamese_by_catalog/Difficult/l/l (76).txt,5552,123,36656
data/ppVietnamese_by_catalog/Difficult/l/l (54).txt,3863,153,28965
data/ppVietnamese_by_catalog/Difficult/l/l (199).txt,7996,298,61577
data/ppVietnamese_by_catalog/Difficult/l/l (169).txt,6143,239,45117
data/ppVietnamese_by_catalog/Difficult/l/l (137).txt,1482,43,10146
data/ppVietnamese_by_catalog/Difficult/l/l (219).txt,9564,371,71792
data/ppVietnamese_by_catalog/Difficult/l/l (105).txt,8169,315,63884
data/ppVietnamese_by_catalog/Difficult/l/l (163).txt,4403,144,31295
data/ppVietnamese_by_catalog/Difficult/l/l (197).txt,8885,295,69022
data/ppVietnamese_by_catalog/Difficult/l/l (152).txt,8634,311,60289
data/ppVietnamese_by_catalog/Difficult/l/l (149).txt,9999,455,71933
data/ppVietnamese_by_catalog/Difficult/l/l (65).txt,4375,227,32691
data/ppVietnamese_by_catalog/Difficult/l/l (166).txt,9082,287,64630
data/ppVietnamese_by_catalog/Difficult/l/l (196).txt,7903,303,62063
data/ppVietnamese_by_catalog/Difficult/l/l (90).txt,5311,139,32145
data/ppVietnamese_by_catalog/Difficult/l/l (142).txt,7391,337,55514
data/ppVietnamese_by_catalog/Difficult/l/l (102).txt,8351,326,65256
data/ppVietnamese_by_catalog/Difficult/l/l (82).txt,1131,68,7486
data/ppVietnamese_by_catalog/Difficult/l/l (120).txt,2702,67,18977
data/ppVietnamese_by_catalog/Difficult/l/l (85).txt,7425,328,55084
data/ppVietnamese_by_catalog/Difficult/l/l (167).txt,2659,86,18236
data/ppVietnamese_by_catalog/Difficult/l/l (95).txt,10229,458,71118
data/ppVietnamese_by_catalog/Difficult/l/l (49).txt,3078,109,22613
data/ppVietnamese_by_catalog/Difficult/l/l (66).txt,7326,266,50860
data/ppVietnamese_by_catalog/Difficult/l/l (207).txt,3714,119,25630
data/ppVietnamese_by_catalog/Difficult/l/l (217).txt,3890,97,28242
data/ppVietnamese_by_catalog/Difficult/l/l (50).txt,3040,123,23061
data/ppVietnamese_by_catalog/Difficult/l/l (128).txt,4148,179,32155
data/ppVietnamese_by_catalog/Difficult/l/l (78).txt,5823,194,42148
data/ppVietnamese_by_catalog/Difficult/l/l (162).txt,4990,202,37078
data/ppVietnamese_by_catalog/Difficult/l/l (79).txt,8170,315,63884
data/ppVietnamese_by_catalog/Difficult/l/l (68).txt,3241,127,23952
data/ppVietnamese_by_catalog/Difficult/l/l (52).txt,823,30,7174
data/ppVietnamese_by_catalog/Difficult/l/l (63).txt,7146,207,50078
data/ppVietnamese_by_catalog/Difficult/l/l (91).txt,9367,197,64252
data/ppVietnamese_by_catalog/Difficult/l/l (73).txt,7691,247,54644
data/ppVietnamese_by_catalog/Difficult/l/l (35).txt,7693,329,53247
data/ppVietnamese_by_catalog/Difficult/l/l (94).txt,5332,140,32620
data/ppVietnamese_by_catalog/Difficult/l/l (147).txt,6323,353,48587
data/ppVietnamese_by_catalog/Difficult/l/l (5).txt,827,22,4818
data/ppVietnamese_by_catalog/Difficult/l/l (148).txt,7632,264,58500
data/ppVietnamese_by_catalog/Difficult/l/l (127).txt,1652,39,11216
data/ppVietnamese_by_catalog/Difficult/l/l (140).txt,2814,125,22520
data/ppVietnamese_by_catalog/Difficult/l/l (9).txt,1208,28,7851
data/ppVietnamese_by_catalog/Difficult/l/l (180).txt,2466,61,17442
data/ppVietnamese_by_catalog/Difficult/l/l (194).txt,6452,235,44610
data/ppVietnamese_by_catalog/Difficult/l/l (154).txt,4297,173,32244
data/ppVietnamese_by_catalog/Difficult/l/l (155).txt,5746,249,41434
data/ppVietnamese_by_catalog/Difficult/l/l (141).txt,8513,174,58568
data/ppVietnamese_by_catalog/Difficult/l/l (34).txt,6510,205,49166
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (861).txt,2117,66,14416
data/ppVietnamese_by_catalog/Difficult/l/l (27).txt,10031,310,62332
data/ppVietnamese_by_catalog/Difficult/l/l (226).txt,7249,224,49594
data/ppVietnamese_by_catalog/Difficult/l/l (55).txt,5108,158,35976
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (404).txt,2181,57,14953
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (1).txt,1685,73,12336
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (663).txt,1645,57,12614
data/ppVietnamese_by_catalog/Difficult/l/l (89).txt,3903,137,28526
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (1068).txt,2287,64,18214
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (90).txt,1350,42,9040
data/ppVietnamese_by_catalog/Difficult/l/l (189).txt,10171,376,73625
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (17).txt,2610,85,18814
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (702).txt,3169,103,21648
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (1010).txt,3686,150,25014
data/ppVietnamese_by_catalog/Difficult/l/l (191).txt,7578,371,54597
